Libro,Autor
La ola que viene,Mustafa Suleyman
Homo Deus,Yuval Noah Harari
Artificial,Mariano Sigman; Santiago Bilinkis
The Coming Wave,Mustafa Suleyman
Control,Freddy Vega
Negocios inteligentes,Santiago Martínez Vela
Open to Work,LinkedIn Editorial
"Pensar rápido, pensar despacio",Daniel Kahneman
Al límite,Nate Silver
Pensar con claridad,Shane Parrish
Hidden Potential,Adam Grant
La vida secreta de la mente,Mariano Sigman
Distánciate,Santiago Bilinkis; Mariano Sigman
Dopamina,Daniel Z. Lieberman; Michael E. Long
Inteligencia emocional,Daniel Goleman
Neurohábitos,Nicole Vignola
Atomic Habits,James Clear
No te comas el coco,Julia Pascual
Respira,James Nestor
Más hábitos menos dramas,Mónica González
Inmune a la distracción,Nir Eyal
La regla de los 3 minutos,Brant Pinvidic
Micro Experiments,Anne-Laure Le Cunff
Hyper Efficient,Mithu Storoni
¡Crear o Morir!,Andrés Oppenheimer
Ikigai,Héctor García; Francesc Miralles
Cómo ganar amigos e influir sobre las personas,Dale Carnegie
Hable como TED,Carmine Gallo
El poder de las palabras,Mariano Sigman
Nueva conversación,Charles Duhigg
Cómo trabajar con gente complicada,Ryan Leak
Mide lo que importa,John Doerr
Creatividad S.A.,Ed Catmull
Estrategia emergente,Adrienne Maree Brown
"Bueno, bonito y carito",Mónica Mendoza
Código del éxito,Brian Tracy
Los disruptores,Sally Percy
Ventas salvajes,Álex Dey
El pequeño libro rojo de las ventas,Jeffrey Gitomer
Nunca dividas la diferencia,Chris Voss
Lecciones de liderazgo creativo,Robert Iger
Los 7 hábitos de la gente altamente efectiva,Stephen R. Covey
Los líderes comen al final,Simon Sinek
Power Skills,Korn Ferry
Los primeros 90 días,Michael D. Watkins
Meditaciones,Marco Aurelio
Las siete leyes espirituales del éxito,Deepak Chopra
El peregrino,Paulo Coelho
La ciencia de hacerse rico,Wallace D. Wattles
